date	Channel 1
09-12-2014 003235	7.3
09-12-2014 003335	7.3
09-12-2014 003435	7.5
09-12-2014 003535	7.4
09-12-2014 003635	7.4
09-12-2014 003735	7.6
09-12-2014 003835	7.7
09-12-2014 003935	7.4
09-12-2014 004036	7.4
09-12-2014 004136	7.4
09-12-2014 004236	7.4
09-12-2014 004336	7.4
09-12-2014 004436	7.4
09-12-2014 004536	7.4
09-12-2014 004636	7.4
09-12-2014 004736	7.6
09-12-2014 004836	7.5
09-12-2014 004936	7.2
09-12-2014 005036	7.4
09-12-2014 005136	7.3
09-12-2014 005236	7.4
09-12-2014 005336	7.4
09-12-2014 005436	7.6
09-12-2014 005536	7.3
09-12-2014 005637	7.4
09-12-2014 005737	7.3
09-12-2014 005837	7.4
09-12-2014 005937	7.6
09-12-2014 010037	7.2
09-12-2014 010137	7.5
09-12-2014 010237	7.5
09-12-2014 010337	7.5
09-12-2014 010437	7.3
09-12-2014 010537	7.4
09-12-2014 010637	7.5
09-12-2014 010737	7.3
09-12-2014 010837	7.4
09-12-2014 010937	7.4
09-12-2014 011037	7.1
09-12-2014 011137	7.2
09-12-2014 011238	7.4
09-12-2014 011338	7.3
09-12-2014 011438	7.4
09-12-2014 011538	7.3
09-12-2014 011638	7.4
09-12-2014 011738	7.2
09-12-2014 011838	7.4
09-12-2014 011938	7.5
09-12-2014 012038	7.2
09-12-2014 012138	7.4
09-12-2014 012238	7.3
09-12-2014 012338	7.2
09-12-2014 012438	7.4
09-12-2014 012538	7.3
09-12-2014 012638	7.3
09-12-2014 012738	7.5
09-12-2014 012838	7.4
09-12-2014 012939	7.3
09-12-2014 013039	7.3
09-12-2014 013139	7.4
09-12-2014 013239	7.2
09-12-2014 013339	7.4
09-12-2014 013439	7.1
09-12-2014 013539	7.1
09-12-2014 013639	7.3
09-12-2014 013739	7.2
09-12-2014 013839	7.3
09-12-2014 013939	7.5
09-12-2014 014039	7.3
09-12-2014 014139	7.3
09-12-2014 014239	7.4
09-12-2014 014339	7.4
09-12-2014 014439	7.3
09-12-2014 014539	7.0
09-12-2014 014640	7.2
09-12-2014 014740	7.2
09-12-2014 014840	7.2
09-12-2014 014940	7.3
09-12-2014 015040	7.0
09-12-2014 015140	7.2
09-12-2014 015240	7.1
09-12-2014 015340	7.4
09-12-2014 015440	7.1
09-12-2014 015540	7.0
09-12-2014 015640	7.4
09-12-2014 015740	7.2
09-12-2014 015840	7.0
09-12-2014 015940	7.2
09-12-2014 020040	7.0
09-12-2014 020140	7.3
09-12-2014 020241	7.1
09-12-2014 020341	7.3
09-12-2014 020441	7.2
09-12-2014 020541	7.0
09-12-2014 020641	7.1
09-12-2014 020741	7.2
09-12-2014 020841	7.0
09-12-2014 020941	7.2
09-12-2014 021041	7.3
09-12-2014 021141	7.0
09-12-2014 021241	7.1
09-12-2014 021341	7.0
09-12-2014 021441	7.3
09-12-2014 021541	7.3
09-12-2014 021641	7.0
09-12-2014 021741	7.0
09-12-2014 021842	7.3
09-12-2014 021942	7.1
09-12-2014 022042	7.1
09-12-2014 022142	7.1
09-12-2014 022242	7.2
09-12-2014 022342	7.2
09-12-2014 022442	7.0
09-12-2014 022542	7.0
09-12-2014 022642	7.0
09-12-2014 022742	7.0
09-12-2014 022842	7.0
09-12-2014 022942	7.0
09-12-2014 023042	7.0
09-12-2014 023142	7.0
09-12-2014 023242	7.0
09-12-2014 023342	7.1
09-12-2014 023443	7.0
09-12-2014 023543	7.0
09-12-2014 023643	7.0
09-12-2014 023743	7.0
09-12-2014 023843	7.1
09-12-2014 023943	7.2
09-12-2014 024043	7.0
09-12-2014 024143	7.0
09-12-2014 024243	7.2
09-12-2014 024343	7.0
09-12-2014 024443	6.9
09-12-2014 024543	7.0
09-12-2014 024643	7.0
09-12-2014 024743	7.0
09-12-2014 024843	7.0
09-12-2014 024943	6.9
09-12-2014 025043	7.0
09-12-2014 025144	7.2
09-12-2014 025244	7.1
09-12-2014 025344	7.2
09-12-2014 025444	7.0
09-12-2014 025544	7.2
09-12-2014 025644	6.9
09-12-2014 025744	7.0
09-12-2014 025844	7.0
09-12-2014 025944	7.0
09-12-2014 030044	7.1
09-12-2014 030144	6.8
09-12-2014 030244	7.0
09-12-2014 030344	7.0
09-12-2014 030444	6.7
09-12-2014 030544	7.0
09-12-2014 030644	6.8
09-12-2014 030744	7.0
09-12-2014 030845	6.8
09-12-2014 030945	6.9
09-12-2014 031045	6.9
09-12-2014 031145	6.8
09-12-2014 031245	6.9
09-12-2014 031345	7.1
09-12-2014 031445	7.0
09-12-2014 031545	6.8
09-12-2014 031645	7.1
09-12-2014 031745	7.0
09-12-2014 031845	7.0
09-12-2014 031945	6.8
09-12-2014 032045	7.0
09-12-2014 032145	7.1
09-12-2014 032245	7.0
09-12-2014 032345	7.0
09-12-2014 032445	7.0
09-12-2014 032545	6.8
09-12-2014 032646	7.0
09-12-2014 032746	6.7
09-12-2014 032846	7.0
09-12-2014 032946	6.9
09-12-2014 033046	7.0
09-12-2014 033146	7.0
09-12-2014 033246	6.9
09-12-2014 033346	6.8
09-12-2014 033446	6.8
09-12-2014 033546	7.0
09-12-2014 033646	7.0
09-12-2014 033746	6.9
09-12-2014 033846	6.9
09-12-2014 033946	6.8
09-12-2014 034046	6.9
09-12-2014 034146	6.9
09-12-2014 034246	7.0
09-12-2014 034347	6.8
09-12-2014 034447	6.9
09-12-2014 034547	6.8
09-12-2014 034647	6.7
09-12-2014 034747	6.9
09-12-2014 034847	6.7
09-12-2014 034947	7.0
09-12-2014 035047	6.7
09-12-2014 035147	7.0
09-12-2014 035247	6.8
09-12-2014 035347	6.6
09-12-2014 035447	6.8
